Time (s);WE(1).Potential (V);Corrected time (s);Index;WE(1).Current (A);Current range
1790.20455948017;0.327606201171875;481.599998784077;2409;-2.92968749999997E-06;10 mA
1790.40455947966;0.3275146484375;481.799998783572;2410;-2.92968749999997E-06;10 mA
1790.60455947916;0.32745361328125;481.999998783067;2411;-3.17382812500003E-06;10 mA
1790.80455947865;0.327362060546875;482.199998782562;2412;-3.60107421875006E-06;10 mA
1791.00455947815;0.327301025390625;482.399998782057;2413;-3.11279296874994E-06;10 mA
1791.20455947764;0.32720947265625;482.599998781552;2414;-3.26538085937494E-06;10 mA
1791.40455947714;0.327117919921875;482.799998781047;2415;-3.26538085937494E-06;10 mA
1791.60455947663;0.3270263671875;482.999998780542;2416;-3.47900390625003E-06;10 mA
1791.80455947613;0.32696533203125;483.199998780037;2417;-3.11279296874994E-06;10 mA
1792.00455947562;0.326873779296875;483.399998779532;2418;-3.17382812500003E-06;10 mA
1792.20455947512;0.3267822265625;483.599998779027;2419;-3.35693359375E-06;10 mA
1792.40455947461;0.32672119140625;483.799998778522;2420;-3.11279296874994E-06;10 mA
1792.60455947411;0.326629638671875;483.999998778017;2421;-3.44848632812506E-06;10 mA
1792.8045594736;0.326568603515625;484.199998777513;2422;-3.35693359375E-06;10 mA
1793.0045594731;0.32647705078125;484.399998777008;2423;-2.86865234375003E-06;10 mA
1793.20455947259;0.326385498046875;484.599998776503;2424;-2.99072265625006E-06;10 mA
1793.40455947209;0.326324462890625;484.799998775998;2425;-3.57055664062494E-06;10 mA
1793.60455947158;0.32623291015625;484.999998775493;2426;-3.57055664062494E-06;10 mA
1793.80455947108;0.326171875;485.199998774988;2427;-3.38745117187497E-06;10 mA
1794.00455947057;0.326080322265625;485.399998774483;2428;-3.02124023437503E-06;10 mA
1794.20455947007;0.32598876953125;485.599998773978;2429;-3.11279296874994E-06;10 mA
1794.40455946956;0.325927734375;485.799998773473;2430;-3.11279296874994E-06;10 mA
1794.60455946906;0.32586669921875;485.999998772968;2431;-3.26538085937494E-06;10 mA
1794.80455946855;0.325775146484375;486.199998772463;2432;-3.57055664062494E-06;10 mA
1795.00455946805;0.325714111328125;486.399998771958;2433;-3.204345703125E-06;10 mA
1795.20455946754;0.325653076171875;486.599998771453;2434;-3.17382812500003E-06;10 mA
1795.40455946704;0.325592041015625;486.799998770948;2435;-3.02124023437503E-06;10 mA
1795.60455946653;0.32550048828125;486.999998770443;2436;-3.509521484375E-06;10 mA
1795.80455946603;0.325439453125;487.199998769938;2437;-3.41796874999994E-06;10 mA
1796.00455946552;0.32537841796875;487.399998769433;2438;-3.29589843750006E-06;10 mA
1796.20455946502;0.3253173828125;487.599998768928;2439;-3.17382812500003E-06;10 mA
1796.40455946451;0.32525634765625;487.799998768423;2440;-3.14331054687506E-06;10 mA
1796.60455946401;0.325164794921875;487.999998767918;2441;-3.29589843750006E-06;10 mA
1796.8045594635;0.3250732421875;488.199998767413;2442;-3.204345703125E-06;10 mA
1797.004559463;0.32501220703125;488.399998766909;2443;-3.29589843750006E-06;10 mA
1797.20455946249;0.324951171875;488.599998766404;2444;-2.92968749999997E-06;10 mA
1797.40455946199;0.324859619140625;488.799998765899;2445;-3.54003906249997E-06;10 mA
1797.60455946148;0.32476806640625;488.999998765394;2446;-2.99072265625006E-06;10 mA
1797.80455946098;0.32470703125;489.199998764889;2447;-3.44848632812506E-06;10 mA
1798.00455946047;0.32464599609375;489.399998764384;2448;-3.57055664062494E-06;10 mA
1798.20455945997;0.324554443359375;489.599998763879;2449;-3.29589843750006E-06;10 mA
1798.40455945946;0.324462890625;489.799998763374;2450;-3.29589843750006E-06;10 mA
1798.60455945896;0.32440185546875;489.999998762869;2451;-2.83813476562506E-06;10 mA
1798.80455945846;0.324310302734375;490.199998762364;2452;-3.29589843750006E-06;10 mA
1799.00455945795;0.32421875;490.399998761859;2453;-3.662109375E-06;10 mA
1799.20455945745;0.32415771484375;490.599998761354;2454;-3.60107421875006E-06;10 mA
1799.40455945694;0.324066162109375;490.799998760849;2455;-3.35693359375E-06;10 mA
1799.60455945644;0.324005126953125;490.999998760344;2456;-3.23486328124997E-06;10 mA
1799.80455945593;0.323944091796875;491.199998759839;2457;-2.92968749999997E-06;10 mA
1800.00455945543;0.3238525390625;491.399998759334;2458;-3.41796874999994E-06;10 mA
1800.20455945492;0.323760986328125;491.599998758829;2459;-3.60107421875006E-06;10 mA
1800.40455945442;0.32366943359375;491.799998758324;2460;-3.11279296874994E-06;10 mA
1800.60455945391;0.3236083984375;491.999998757819;2461;-3.41796874999994E-06;10 mA
1800.80455945341;0.323516845703125;492.199998757314;2462;-3.509521484375E-06;10 mA
1801.0045594529;0.32342529296875;492.39999875681;2463;-3.41796874999994E-06;10 mA
1801.2045594524;0.3233642578125;492.599998756305;2464;-3.26538085937494E-06;10 mA
1801.40455945189;0.32330322265625;492.7999987558;2465;-3.35693359375E-06;10 mA
1801.60455945139;0.323211669921875;492.999998755295;2466;-3.11279296874994E-06;10 mA
1801.80455945088;0.323150634765625;493.19999875479;2467;-3.35693359375E-06;10 mA
1802.00455945038;0.323089599609375;493.399998754285;2468;-3.32641601562503E-06;10 mA
1802.20455944987;0.322998046875;493.59999875378;2469;-3.08227539062497E-06;10 mA
1802.40455944937;0.32293701171875;493.799998753275;2470;-3.26538085937494E-06;10 mA
1802.60455944886;0.3228759765625;493.99999875277;2471;-3.38745117187497E-06;10 mA
1802.80455944836;0.322784423828125;494.199998752265;2472;-3.29589843750006E-06;10 mA
1803.00455944785;0.322723388671875;494.39999875176;2473;-3.17382812500003E-06;10 mA
1803.20455944735;0.3226318359375;494.599998751255;2474;-3.204345703125E-06;10 mA
1803.40455944684;0.32257080078125;494.79999875075;2475;-3.32641601562503E-06;10 mA
1803.60455944634;0.322509765625;494.999998750245;2476;-3.23486328124997E-06;10 mA
1803.80455944583;0.32244873046875;495.19999874974;2477;-3.35693359375E-06;10 mA
1804.00455944533;0.322357177734375;495.399998749235;2478;-3.204345703125E-06;10 mA
1804.20455944482;0.322296142578125;495.59999874873;2479;-2.92968749999997E-06;10 mA
1804.40455944432;0.32220458984375;495.799998748225;2480;-3.23486328124997E-06;10 mA
1804.60455944381;0.3221435546875;495.99999874772;2481;-3.44848632812506E-06;10 mA
1804.80455944331;0.322052001953125;496.199998747215;2482;-3.08227539062497E-06;10 mA
1805.0045594428;0.32196044921875;496.39999874671;2483;-3.509521484375E-06;10 mA
1805.2045594423;0.321929931640625;496.599998746206;2484;-3.26538085937494E-06;10 mA
1805.40455944179;0.32183837890625;496.799998745701;2485;-3.14331054687506E-06;10 mA
1805.60455944129;0.321746826171875;496.999998745196;2486;-2.92968749999997E-06;10 mA
1805.80455944078;0.321685791015625;497.199998744691;2487;-3.29589843750006E-06;10 mA
1806.00455944028;0.32159423828125;497.399998744186;2488;-3.23486328124997E-06;10 mA
1806.20455943977;0.321533203125;497.599998743681;2489;-3.29589843750006E-06;10 mA
1806.40455943927;0.321441650390625;497.799998743176;2490;-3.32641601562503E-06;10 mA
1806.60455943876;0.32135009765625;497.999998742671;2491;-3.23486328124997E-06;10 mA
1806.80455943826;0.3212890625;498.199998742166;2492;-3.17382812500003E-06;10 mA
1807.00455943775;0.32122802734375;498.399998741661;2493;-3.41796874999994E-06;10 mA
1807.20455943725;0.321136474609375;498.599998741156;2494;-3.509521484375E-06;10 mA
1807.40455943674;0.321075439453125;498.799998740651;2495;-3.17382812500003E-06;10 mA
1807.60455943624;0.32098388671875;498.999998740146;2496;-3.23486328124997E-06;10 mA
1807.80455943573;0.3209228515625;499.199998739641;2497;-3.204345703125E-06;10 mA
1808.00455943523;0.320831298828125;499.399998739136;2498;-3.32641601562503E-06;10 mA
1808.20455943472;0.320770263671875;499.599998738631;2499;-3.17382812500003E-06;10 mA
1808.40455943422;0.3206787109375;499.799998738126;2500;-3.32641601562503E-06;10 mA
1808.60455943371;0.32061767578125;499.999998737621;2501;-2.92968749999997E-06;10 mA
1808.80455943321;0.320526123046875;500.199998737116;2502;-3.0517578125E-06;10 mA
1809.0045594327;0.320465087890625;500.399998736611;2503;-3.26538085937494E-06;10 mA
1809.2045594322;0.320404052734375;500.599998736106;2504;-3.41796874999994E-06;10 mA
1809.40455943169;0.3203125;500.799998735602;2505;-3.47900390625003E-06;10 mA
1809.60455943119;0.32025146484375;500.999998735097;2506;-3.23486328124997E-06;10 mA
1809.80455943068;0.3201904296875;501.199998734592;2507;-3.26538085937494E-06;10 mA
1810.00455943018;0.320098876953125;501.399998734087;2508;-3.35693359375E-06;10 mA
1810.20455942967;0.32000732421875;501.599998733582;2509;-2.92968749999997E-06;10 mA
1810.40455942917;0.3199462890625;501.799998733077;2510;-3.35693359375E-06;10 mA
1810.60455942866;0.319854736328125;501.999998732572;2511;-3.08227539062497E-06;10 mA
1810.80455942816;0.31976318359375;502.199998732067;2512;-2.99072265625006E-06;10 mA
1811.00455942765;0.3197021484375;502.399998731562;2513;-3.26538085937494E-06;10 mA
1811.20455942715;0.31964111328125;502.599998731057;2514;-3.14331054687506E-06;10 mA
1811.40455942664;0.319549560546875;502.799998730552;2515;-3.204345703125E-06;10 mA
1811.60455942614;0.319488525390625;502.999998730047;2516;-3.35693359375E-06;10 mA
1811.80455942563;0.31939697265625;503.199998729542;2517;-3.11279296874994E-06;10 mA
1812.00455942513;0.3193359375;503.399998729037;2518;-3.17382812500003E-06;10 mA
1812.20455942462;0.319244384765625;503.599998728532;2519;-3.02124023437503E-06;10 mA
1812.40455942412;0.319183349609375;503.799998728027;2520;-3.204345703125E-06;10 mA
1812.60455942361;0.319091796875;503.999998727522;2521;-3.29589843750006E-06;10 mA
1812.80455942311;0.31903076171875;504.199998727017;2522;-3.509521484375E-06;10 mA
1813.0045594226;0.318939208984375;504.399998726512;2523;-3.44848632812506E-06;10 mA
1813.2045594221;0.318878173828125;504.599998726007;2524;-3.41796874999994E-06;10 mA
1813.40455942159;0.31878662109375;504.799998725503;2525;-3.38745117187497E-06;10 mA
1813.60455942109;0.318695068359375;504.999998724998;2526;-3.08227539062497E-06;10 mA
1813.80455942058;0.318603515625;505.199998724493;2527;-3.26538085937494E-06;10 mA
1814.00455942008;0.31854248046875;505.399998723988;2528;-3.23486328124997E-06;10 mA
1814.20455941957;0.3184814453125;505.599998723483;2529;-3.26538085937494E-06;10 mA
1814.40455941907;0.318389892578125;505.799998722978;2530;-3.26538085937494E-06;10 mA
1814.60455941856;0.318359375;505.999998722473;2531;-3.41796874999994E-06;10 mA
1814.80455941806;0.318267822265625;506.199998721968;2532;-3.47900390625003E-06;10 mA
1815.00455941755;0.31817626953125;506.399998721463;2533;-3.0517578125E-06;10 mA
1815.20455941705;0.318115234375;506.599998720958;2534;-3.204345703125E-06;10 mA
1815.40455941654;0.31805419921875;506.799998720453;2535;-3.02124023437503E-06;10 mA
1815.60455941604;0.317962646484375;506.999998719948;2536;-3.38745117187497E-06;10 mA
1815.80455941553;0.317901611328125;507.199998719443;2537;-3.204345703125E-06;10 mA
1816.00455941503;0.317840576171875;507.399998718938;2538;-3.44848632812506E-06;10 mA
1816.20455941452;0.317779541015625;507.599998718433;2539;-3.02124023437503E-06;10 mA
1816.40455941402;0.31768798828125;507.799998717928;2540;-3.54003906249997E-06;10 mA
1816.60455941351;0.317626953125;507.999998717423;2541;-3.02124023437503E-06;10 mA
1816.80455941301;0.31756591796875;508.199998716918;2542;-3.41796874999994E-06;10 mA
1817.0045594125;0.317474365234375;508.399998716413;2543;-3.41796874999994E-06;10 mA
1817.204559412;0.317413330078125;508.599998715908;2544;-3.204345703125E-06;10 mA
1817.40455941149;0.317352294921875;508.799998715403;2545;-3.41796874999994E-06;10 mA
1817.60455941099;0.317291259765625;508.999998714899;2546;-3.26538085937494E-06;10 mA
1817.80455941048;0.31719970703125;509.199998714394;2547;-2.92968749999997E-06;10 mA
1818.00455940998;0.317138671875;509.399998713889;2548;-3.02124023437503E-06;10 mA
1818.20455940947;0.317047119140625;509.599998713384;2549;-3.23486328124997E-06;10 mA
1818.40455940897;0.316986083984375;509.799998712879;2550;-2.899169921875E-06;10 mA
1818.60455940846;0.316925048828125;509.999998712374;2551;-3.32641601562503E-06;10 mA
1818.80455940796;0.31683349609375;510.199998711869;2552;-3.26538085937494E-06;10 mA
1819.00455940745;0.3167724609375;510.399998711364;2553;-3.23486328124997E-06;10 mA
1819.20455940695;0.31671142578125;510.599998710859;2554;-3.02124023437503E-06;10 mA
1819.40455940645;0.316650390625;510.799998710354;2555;-3.02124023437503E-06;10 mA
1819.60455940594;0.316558837890625;510.999998709849;2556;-3.35693359375E-06;10 mA
