Time (s);WE(1).Potential (V);Corrected time (s);Index;WE(1).Current (A)
1342.19642561128;0.22955322265625;404.999998977473;2026;-2.31933593749997E-06
1342.39642561077;0.229461669921875;405.199998976968;2027;-1.64794921875003E-06
1342.59642561027;0.22930908203125;405.399998976463;2028;-1.46484375000006E-06
1342.79642560976;0.229217529296875;405.599998975958;2029;-6.13403320312497E-06
1342.99642560926;0.229095458984375;405.799998975453;2030;-1.92260742187506E-06
1343.19642560875;0.22900390625;405.999998974948;2031;-3.93676757812503E-06
1343.39642560825;0.2288818359375;406.199998974443;2032;-4.79125976562494E-06
1343.59642560775;0.228759765625;406.399998973939;2033;-2.56347656250003E-06
1343.79642560724;0.22869873046875;406.599998973434;2034;-6.28662109374997E-06
1343.99642560674;0.22857666015625;406.799998972929;2035;-3.47900390625003E-06
1344.19642560623;0.228485107421875;406.999998972424;2036;-1.00708007812506E-06
1344.39642560573;0.2283935546875;407.199998971919;2037;-4.02832031249994E-06
1344.59642560522;0.228302001953125;407.399998971414;2038;-5.58471679687506E-06
1344.79642560472;0.228179931640625;407.599998970909;2039;-5.31005859375003E-06
1344.99642560421;0.22808837890625;407.799998970404;2040;-5.09643554687494E-06
1345.19642560371;0.227996826171875;407.999998969899;2041;-4.69970703125003E-06
1345.3964256032;0.2279052734375;408.199998969394;2042;-5.52368164062497E-06
1345.5964256027;0.227783203125;408.399998968889;2043;-1.00708007812506E-06
1345.79642560219;0.227691650390625;408.599998968384;2044;-4.63867187499994E-06
1345.99642560169;0.22760009765625;408.799998967879;2045;-2.65502929687494E-06
1346.19642560118;0.22747802734375;408.999998967374;2046;-5.82885742187497E-06
1346.39642560068;0.227386474609375;409.199998966869;2047;-4.33349609374994E-06
1346.59642560017;0.227294921875;409.399998966364;2048;-2.77709960937497E-06
1346.79642559967;0.2271728515625;409.599998965859;2049;-3.44848632812506E-06
1346.99642559916;0.227081298828125;409.799998965354;2050;-5.15747070312503E-06
1347.19642559866;0.226959228515625;409.999998964849;2051;-5.73730468750006E-06
1347.39642559815;0.226837158203125;410.199998964344;2052;-3.72314453124994E-06
1347.59642559765;0.22674560546875;410.399998963839;2053;-1.31225585937506E-06
1347.79642559714;0.22662353515625;410.599998963335;2054;-3.54003906249997E-06
1347.99642559664;0.22650146484375;410.79999896283;2055;-3.17382812500003E-06
1348.19642559613;0.226409912109375;410.999998962325;2056;-1.80053710937503E-06
1348.39642559563;0.226287841796875;411.19999896182;2057;-2.44140625E-06
1348.59642559512;0.2261962890625;411.399998961315;2058;-5.18798828125E-06
1348.79642559462;0.22607421875;411.59999896081;2059;-4.82177734375006E-06
1348.99642559411;0.225982666015625;411.799998960305;2060;-3.57055664062494E-06
1349.19642559361;0.22589111328125;411.9999989598;2061;-4.79125976562494E-06
1349.3964255931;0.22576904296875;412.199998959295;2062;-3.47900390625003E-06
1349.5964255926;0.225677490234375;412.39999895879;2063;-3.02124023437503E-06
1349.79642559209;0.225555419921875;412.599998958285;2064;-2.44140625E-06
1349.99642559159;0.225433349609375;412.79999895778;2065;-2.86865234375003E-06
1350.19642559108;0.225341796875;412.999998957275;2066;-3.90625000000006E-06
1350.39642559058;0.2252197265625;413.19999895677;2067;-2.288818359375E-06
1350.59642559007;0.225128173828125;413.399998956265;2068;-2.50244140624994E-06
1350.79642558957;0.22503662109375;413.59999895576;2069;-3.54003906249997E-06
1350.99642558906;0.224945068359375;413.799998955255;2070;-3.44848632812506E-06
1351.19642558856;0.224822998046875;413.99999895475;2071;-2.74658203125E-06
1351.39642558805;0.224700927734375;414.199998954245;2072;-3.11279296874994E-06
1351.59642558755;0.224578857421875;414.39999895374;2073;-3.69262695312497E-06
1351.79642558704;0.2244873046875;414.599998953236;2074;-2.62451171874997E-06
1351.99642558654;0.224365234375;414.799998952731;2075;-3.41796874999994E-06
1352.19642558603;0.224273681640625;414.999998952226;2076;-3.0517578125E-06
1352.39642558553;0.22418212890625;415.199998951721;2077;-3.57055664062494E-06
1352.59642558502;0.224090576171875;415.399998951216;2078;-3.02124023437503E-06
1352.79642558452;0.2239990234375;415.599998950711;2079;-3.99780273437497E-06
1352.99642558401;0.223876953125;415.799998950206;2080;-2.65502929687494E-06
1353.19642558351;0.2237548828125;415.999998949701;2081;-3.84521484374997E-06
1353.396425583;0.223663330078125;416.199998949196;2082;-3.08227539062497E-06
1353.5964255825;0.223541259765625;416.399998948691;2083;-3.60107421875006E-06
1353.79642558199;0.22344970703125;416.599998948186;2084;-3.47900390625003E-06
1353.99642558149;0.22332763671875;416.799998947681;2085;-3.93676757812503E-06
1354.19642558098;0.22320556640625;416.999998947176;2086;-4.94384765624994E-06
1354.39642558048;0.223114013671875;417.199998946671;2087;-4.119873046875E-06
1354.59642557997;0.2230224609375;417.399998946166;2088;-3.26538085937494E-06
1354.79642557947;0.222900390625;417.599998945661;2089;-3.90625000000006E-06
1354.99642557896;0.222808837890625;417.799998945156;2090;-4.119873046875E-06
1355.19642557846;0.222686767578125;417.999998944651;2091;-5.4931640625E-06
1355.39642557795;0.22259521484375;418.199998944146;2092;-2.34985351562494E-06
1355.59642557745;0.22247314453125;418.399998943641;2093;-5.24902343749994E-06
